server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;2;2.0;14.0;0;11;11.0;12.0
2;2;2.0;12.0;1;19;10.0;10.0
3;2;2.0;26.0;3;17;24.0;24.0
4;2;2.0;13.0;2;1;10.0;11.0
5;6;6.0;33.0;5;24;27.0;27.0
7;6;6.0;35.0;8;24;29.0;29.0
8;6;6.0;12.0;6;3;10.0;6.0
9;6;6.0;27.0;9;20;21.0;21.0
10;6;6.0;12.0;7;14;5.0;6.0
11;6;6.0;32.0;4;19;26.0;26.0
18;8;8.0;17.0;11;16;4.0;9.0
19;8;8.0;34.0;10;21;25.0;26.0
13;9;9.0;12.0;12;20;3.0;3.0
15;9;9.0;10.0;16;26;2.0;1.0
15;10;10.0;12.0;17;10;2.0;2.0
17;9;10.524761155076659;12.524761155076659;14;12;3.0;2.0
13;10;12.0;23.0;18;0;14.0;11.0
15;9;12.0;37.0;13;8;27.0;25.0
17;13;13.0;18.0;20;1;3.0;5.0
1;15;15.0;18.0;22;22;3.0;3.0
6;15;15.0;19.0;21;11;5.0;4.0
14;16;16.0;30.0;23;3;15.0;14.0
16;16;16.0;22.0;24;0;5.0;6.0
12;17;17.0;27.0;25;25;10.0;10.0
1;21;21.0;22.0;26;28;2.0;1.0
6;21;21.0;47.0;27;7;27.0;26.0
8;21;21.0;48.0;28;8;27.0;27.0
1;22;22.0;24.0;29;21;2.0;2.0
10;22;22.0;49.0;30;17;28.0;27.0
16;23;23.0;27.0;34;10;4.0;4.0
17;23;23.0;24.0;33;21;1.0;1.0
18;23;23.0;29.0;31;16;4.0;6.0
2;23;23.0;26.0;37;5;1.0;3.0
4;23;23.0;29.0;35;12;7.0;6.0
0;23;23.0;27.0;32;28;6.0;4.0
13;23;23.0;40.0;36;1;18.0;17.0
1;26;26.0;51.0;38;20;23.0;25.0
17;26;26.0;36.0;41;2;8.0;10.0
2;26;26.0;35.0;40;19;10.0;9.0
3;26;26.0;30.0;39;13;5.0;4.0
12;28;28.0;34.0;44;26;12.0;6.0
16;28;28.0;55.0;45;15;27.0;27.0
0;28;28.0;32.0;43;14;1.0;4.0
9;28;28.0;47.0;42;20;21.0;19.0
14;31;31.0;37.0;46;9;6.0;6.0
18;31;31.0;57.0;47;21;25.0;26.0
4;32;32.0;55.0;48;19;23.0;23.0
0;33;33.0;41.0;50;28;6.0;8.0
11;33;33.0;42.0;49;27;6.0;9.0
5;33;33.0;45.0;51;3;13.0;12.0
12;35;35.0;52.0;52;27;17.0;17.0
17;36;36.0;58.0;56;10;23.0;22.0
2;36;36.0;40.0;55;23;4.0;4.0
19;36;36.0;47.0;54;19;11.0;11.0
3;36;36.0;52.0;53;6;16.0;16.0
14;37;37.0;44.0;57;9;6.0;7.0
15;39;39.0;63.0;58;7;24.0;24.0
2;40;40.0;51.0;59;29;11.0;11.0
7;40;40.0;51.0;60;19;12.0;11.0
13;40;40.0;55.0;61;24;16.0;15.0
0;41;41.0;53.0;62;29;12.0;12.0
11;42;42.0;67.0;63;19;26.0;25.0
14;45;45.0;57.0;65;20;11.0;12.0
5;45;45.0;68.0;64;12;22.0;23.0
6;47;47.0;57.0;69;4;10.0;10.0
19;47;47.0;57.0;67;11;12.0;10.0
9;47;47.0;55.0;66;17;9.0;8.0
8;48;48.0;56.0;73;7;8.0;8.0
10;49;49.0;77.0;82;9;27.0;28.0
1;48;51.0;61.0;76;2;10.0;10.0
2;50;51.0;61.0;88;6;10.0;10.0
7;51;51.0;73.0;91;25;20.0;22.0
12;51;52.0;77.0;92;12;27.0;25.0
3;49;52.0;61.0;86;0;11.0;9.0
16;52;55.0;59.0;95;18;4.0;4.0
4;54;55.0;57.0;100;5;3.0;2.0
13;49;55.0;56.0;87;25;2.0;1.0
9;52;55.0;59.0;97;7;5.0;4.0
8;48;56.0;58.0;72;12;2.0;2.0
13;48;56.0;59.0;75;17;3.0;3.0
14;49;57.0;60.0;80;23;3.0;3.0
6;48;57.0;60.0;77;6;4.0;3.0
18;48;57.0;59.0;71;29;3.0;2.0
4;51;57.0;58.0;93;13;1.0;1.0
19;56;57.0;60.0;101;0;2.0;3.0
17;49;58.0;60.0;84;12;3.0;2.0
8;50;58.0;64.0;89;22;5.0;6.0
4;52;58.0;64.0;98;10;6.0;6.0
16;58;59.0;60.0;105;14;1.0;1.0
18;52;59.0;65.0;99;29;3.0;6.0
13;58;59.0;63.0;103;17;3.0;4.0
9;48;59.0;67.0;70;4;7.0;8.0
14;48;60.0;65.0;78;19;6.0;5.0
16;47;60.0;62.0;68;8;3.0;2.0
17;57;60.0;63.0;102;11;4.0;3.0
6;58;60.0;70.0;104;8;8.0;10.0
19;48;60.0;71.0;79;19;11.0;11.0
1;49;61.0;86.0;81;19;24.0;25.0
2;61;61.0;66.0;107;0;6.0;5.0
3;61;61.0;86.0;106;24;24.0;25.0
16;62;62.0;64.0;109;27;2.0;2.0
17;63;63.0;68.0;113;20;4.0;5.0
13;63;63.0;65.0;116;17;3.0;2.0
0;63;63.112262607574564;65.11226260757456;115;24;1.0;2.0
16;64;64.0;67.0;121;18;4.0;3.0
8;64;64.0;83.0;117;9;20.0;19.0
4;63;64.0;70.0;112;10;6.0;6.0
14;64;65.0;69.0;120;23;3.0;4.0
18;64;65.0;73.0;122;2;8.0;8.0
13;64;65.0;69.0;119;19;8.0;4.0
0;64;65.11226260757456;72.11226260757456;118;9;5.0;7.0
2;62;66.0;72.0;108;7;9.0;6.0
16;67;67.0;72.0;126;20;5.0;5.0
9;67;67.0;71.0;124;16;4.0;4.0
17;62;68.0;76.0;110;1;3.0;8.0
5;67;68.0;76.0;127;0;5.0;8.0
14;67;69.0;72.0;125;23;3.0;3.0
13;69;69.0;77.0;134;4;9.0;8.0
6;70;70.0;91.0;140;18;20.0;21.0
4;70;70.0;77.0;139;21;7.0;7.0
19;70;71.0;97.0;138;21;25.0;26.0
9;69;71.0;73.0;132;15;3.0;2.0
16;72;72.0;78.0;152;2;6.0;6.0
14;72;72.0;86.0;145;24;15.0;14.0
2;70;72.0;75.0;142;5;1.0;3.0
0;68;72.11226260757456;73.11226260757456;131;24;1.0;1.0
18;68;73.0;78.0;128;16;4.0;5.0
7;70;73.0;80.0;143;4;6.0;7.0
9;68;73.0;76.0;129;16;4.0;3.0
0;72;73.11226260757456;79.11226260757456;149;6;7.0;6.0
2;74;75.0;80.0;155;11;6.0;5.0
17;70;76.0;77.0;141;12;3.0;1.0
9;72;76.0;80.0;150;7;5.0;4.0
5;69;76.0;94.0;133;26;15.0;18.0
12;74;77.0;80.0;154;5;2.0;3.0
17;72;77.0;85.0;148;20;4.0;8.0
10;72;77.0;86.0;153;22;11.0;9.0
4;63;77.0;84.0;114;10;6.0;7.0
13;72;77.0;86.0;146;4;9.0;9.0
16;68;78.0;85.0;130;10;4.0;7.0
18;72;78.0;89.0;151;11;12.0;11.0
11;79;79.0;83.0;156;21;3.0;4.0
0;79;79.11226260757456;89.11226260757456;157;12;11.0;10.0
12;80;80.0;81.0;158;2;2.0;1.0
2;80;80.0;88.0;159;27;8.0;8.0
12;81;81.0;106.0;160;9;25.0;25.0
7;81;81.0;99.0;162;26;20.0;18.0
9;81;81.0;104.0;161;2;22.0;23.0
11;83;83.0;88.0;164;12;5.0;5.0
8;83;83.0;101.0;163;1;20.0;18.0
4;83;84.0;94.0;165;8;13.0;10.0
16;85;85.0;86.0;174;14;1.0;1.0
17;85;85.0;90.0;170;12;3.0;5.0
1;86;86.0;87.0;177;0;2.0;1.0
14;86;86.0;92.0;179;9;6.0;6.0
16;85;86.0;92.0;175;20;5.0;6.0
10;84;86.0;89.0;167;6;2.0;3.0
13;85;86.0;93.0;172;13;7.0;7.0
3;86;86.0;96.0;176;29;9.0;10.0
1;87;87.0;112.0;180;19;24.0;25.0
11;87;88.0;96.0;181;2;9.0;8.0
2;84;88.0;92.0;166;11;6.0;4.0
10;89;89.0;100.0;185;22;11.0;11.0
18;85;89.0;96.0;169;2;8.0;7.0
0;87;89.11226260757456;103.11226260757456;182;2;16.0;14.0
17;90;90.0;99.0;186;27;9.0;9.0
6;89;91.0;96.0;183;20;6.0;5.0
16;85;92.0;102.0;173;4;8.0;10.0
14;86;92.0;104.0;178;1;13.0;12.0
2;85;92.0;100.0;171;7;9.0;8.0
13;85;93.0;103.0;168;22;9.0;10.0
4;89;94.0;107.0;184;26;13.0;13.0
5;94;94.0;123.0;187;22;29.0;29.0
11;97;97.0;101.0;189;12;5.0;4.0
6;97;97.0;109.0;188;3;12.0;12.0
18;97;97.0;111.0;191;11;12.0;14.0
19;97;97.0;127.0;190;17;29.0;30.0
17;100;100.0;119.0;194;17;17.0;19.0
10;100;100.0;115.0;196;23;16.0;15.0
2;100;100.0;112.0;197;10;11.0;12.0
7;100;100.0;121.0;199;9;19.0;21.0
3;100;100.0;109.0;200;16;7.0;9.0
11;101;101.0;108.0;204;18;8.0;7.0
8;101;101.0;125.0;211;19;24.0;24.0
16;101;102.0;109.0;214;19;6.0;7.0
13;101;103.0;117.0;213;0;14.0;14.0
0;101;103.11226260757456;104.11226260757456;202;8;1.0;1.0
14;101;104.0;105.0;201;18;1.0;1.0
9;100;104.0;108.0;192;9;2.0;4.0
0;101;104.11226260757456;105.11226260757456;206;8;1.0;1.0
14;101;105.0;106.0;215;18;1.0;1.0
0;101;105.11226260757456;107.11226260757456;210;23;1.0;2.0
12;106;106.0;114.0;223;21;8.0;8.0
14;102;106.0;107.0;217;23;3.0;1.0
14;107;107.0;130.0;230;8;21.0;23.0
4;100;107.0;112.0;198;10;6.0;5.0
0;101;107.11226260757456;108.11226260757456;212;14;1.0;1.0
11;108;108.0;124.0;239;23;16.0;16.0
9;108;108.0;113.0;238;7;5.0;5.0
0;108;108.11226260757456;127.11226260757456;237;1;18.0;19.0
16;109;109.0;126.0;241;5;14.0;17.0
6;100;109.0;111.0;195;28;2.0;2.0
3;104;109.0;115.0;220;16;7.0;6.0
6;106;111.0;116.0;222;6;4.0;5.0
18;101;111.0;124.0;205;9;11.0;13.0
1;112;112.0;124.0;245;24;11.0;12.0
4;101;112.0;117.0;208;10;6.0;5.0
2;101;112.0;120.0;209;7;9.0;8.0
9;108;113.0;114.0;235;9;2.0;1.0
12;102;114.0;118.0;219;10;4.0;4.0
9;101;114.0;123.0;203;17;9.0;9.0
10;115;115.0;121.0;250;14;5.0;6.0
3;115;115.0;132.0;253;14;18.0;17.0
6;115;116.0;127.0;254;12;10.0;11.0
4;117;117.0;135.0;260;22;19.0;18.0
13;115;117.0;122.0;252;17;3.0;5.0
12;118;118.0;127.0;265;3;10.0;9.0
17;119;119.0;120.0;269;3;1.0;1.0
17;119;120.0;123.0;268;20;4.0;3.0
2;119;120.0;126.0;270;28;7.0;6.0
10;119;121.0;146.0;266;10;25.0;25.0
7;100;121.0;139.0;193;26;20.0;18.0
13;106;122.0;137.0;228;26;14.0;15.0
17;117;123.0;134.0;258;6;11.0;11.0
9;123;123.0;143.0;271;28;20.0;20.0
1;107;124.0;127.0;232;21;2.0;3.0
11;119;124.0;125.0;267;13;1.0;1.0
18;117;124.0;126.0;257;24;2.0;2.0
11;111;125.0;127.0;242;10;2.0;2.0
8;107;125.0;128.0;234;22;5.0;3.0
16;117;126.0;127.0;261;14;1.0;1.0
18;106;126.0;128.0;229;29;3.0;2.0
2;118;126.0;129.0;264;14;3.0;3.0
1;108;127.0;129.0;240;0;2.0;2.0
11;117;127.0;129.0;262;10;2.0;2.0
12;108;127.0;131.0;236;2;2.0;4.0
16;117;127.0;132.0;259;18;4.0;5.0
6;106;127.0;134.0;225;4;10.0;7.0
19;115;127.0;130.0;251;0;2.0;3.0
0;106;127.11226260757456;128.11226260757456;227;23;1.0;1.0
18;116;128.0;131.0;255;29;3.0;3.0
8;114;128.0;133.0;247;22;5.0;5.0
0;115;128.11226260757456;142.11226260757456;248;2;16.0;14.0
1;129;129.0;144.0;279;26;15.0;15.0
11;129;129.0;156.0;278;26;26.0;27.0
2;116;129.0;133.0;256;3;4.0;4.0
14;107;130.0;138.0;233;4;10.0;8.0
19;118;130.0;139.0;263;22;13.0;9.0
12;130;131.0;134.0;281;2;2.0;3.0
18;128;131.0;133.0;277;24;2.0;2.0
15;126;131.55775295991396;134.55775295991396;273;22;1.0;3.0
16;132;132.0;134.0;282;14;1.0;2.0
3;126;132.0;136.0;272;13;5.0;4.0
18;126;133.0;144.0;275;9;11.0;11.0
8;130;133.0;149.0;280;0;17.0;16.0
2;126;133.0;159.0;276;4;24.0;26.0
17;134;134.0;155.0;283;22;21.0;21.0
12;134;134.0;136.0;285;28;3.0;2.0
16;134;134.0;155.0;284;22;20.0;21.0
15;135;135.0;164.0;286;12;29.0;29.0
6;137;137.0;142.0;287;0;10.0;5.0
12;137;137.0;159.0;288;29;20.0;22.0
4;138;138.0;142.0;291;12;7.0;4.0
14;138;138.0;146.0;290;4;10.0;8.0
3;138;138.0;144.0;289;8;8.0;6.0
13;141;141.0;156.0;292;0;14.0;15.0
0;145;145.0;169.0;294;16;26.0;24.0
6;145;145.0;169.0;293;15;23.0;24.0
1;146;146.0;174.0;297;18;26.0;28.0
4;146;146.0;147.0;296;13;1.0;1.0
18;146;146.0;161.0;298;7;14.0;15.0
14;146;146.0;152.0;295;19;6.0;6.0
4;147;147.0;154.0;299;21;7.0;7.0
19;151;151.0;180.0;304;17;29.0;29.0
10;151;151.0;164.0;301;18;17.0;13.0
3;151;151.0;161.0;305;0;11.0;10.0
8;151;151.0;159.0;302;7;8.0;8.0
9;151;151.0;156.0;300;18;5.0;5.0
14;151;152.0;169.0;303;3;15.0;17.0
4;154;154.0;165.0;311;8;13.0;11.0
17;154;155.0;167.0;314;5;12.0;12.0
16;153;155.0;157.0;307;10;4.0;2.0
11;153;156.0;179.0;306;19;26.0;23.0
9;154;156.0;159.0;315;22;6.0;3.0
13;154;156.0;160.0;317;20;3.0;4.0
16;153;157.0;164.0;309;19;6.0;7.0
12;156;159.0;163.0;319;23;4.0;4.0
8;156;159.0;166.0;318;17;8.0;7.0
9;153;159.0;165.0;308;13;7.0;6.0
2;154;159.0;163.0;316;3;4.0;4.0
13;160;160.0;161.0;324;25;2.0;1.0
3;160;161.0;168.0;325;27;8.0;7.0
18;158;161.0;164.0;323;24;2.0;3.0
13;157;161.0;163.0;320;17;3.0;2.0
12;158;163.0;166.0;322;23;4.0;3.0
2;154;163.0;168.0;312;11;6.0;5.0
13;154;163.0;172.0;313;29;7.0;9.0
15;153;164.0;165.0;310;6;1.0;1.0
10;157;164.0;165.0;321;6;2.0;1.0
18;164;164.0;177.0;327;9;11.0;13.0
15;165;165.0;166.0;328;6;1.0;1.0
4;165;165.0;179.0;329;26;13.0;14.0
15;166;166.0;192.0;330;11;25.0;26.0
10;168;168.0;180.0;333;0;11.0;12.0
12;168;168.0;173.0;331;4;3.0;5.0
16;168;168.0;194.0;332;15;27.0;26.0
0;170;170.0;173.0;336;8;1.0;3.0
6;170;170.0;195.0;334;21;22.0;25.0
3;172;172.0;188.0;337;2;17.0;16.0
17;172;172.0;196.0;339;8;24.0;24.0
8;172;172.0;177.0;338;28;2.0;5.0
9;172;172.0;179.0;340;21;8.0;7.0
0;173;173.0;193.0;342;4;21.0;20.0
12;173;173.0;191.0;343;0;20.0;18.0
7;177;177.0;185.0;344;17;8.0;8.0
14;177;177.0;184.0;346;11;8.0;7.0
1;177;177.0;182.0;353;10;4.0;5.0
8;177;177.0;183.0;349;25;6.0;6.0
2;177;177.0;178.0;352;5;1.0;1.0
18;177;177.0;181.0;351;29;3.0;4.0
13;177;177.0;187.0;350;14;9.0;10.0
2;177;178.0;182.0;347;3;4.0;4.0
9;178;179.0;184.0;354;18;5.0;5.0
4;177;179.0;199.0;345;6;19.0;20.0
11;177;179.0;197.0;348;3;22.0;18.0
10;180;180.0;196.0;355;18;17.0;16.0
19;180;180.0;200.0;356;16;22.0;20.0
5;181;181.0;187.0;358;13;4.0;6.0
18;181;181.0;202.0;357;27;20.0;21.0
1;182;182.0;184.0;362;21;2.0;2.0
2;181;182.0;186.0;359;14;3.0;4.0
8;182;183.0;189.0;361;22;5.0;6.0
14;182;184.0;213.0;363;16;26.0;29.0
1;182;184.0;187.0;360;10;4.0;3.0
5;187;187.0;205.0;365;23;18.0;18.0
15;192;192.0;218.0;366;23;27.0;26.0
7;193;193.0;202.0;373;17;8.0;9.0
9;193;193.0;207.0;370;25;12.0;14.0
1;193;193.0;208.0;367;1;15.0;15.0
2;193;193.0;194.0;371;5;1.0;1.0
3;193;193.0;211.0;368;11;18.0;18.0
0;193;193.0;208.0;372;19;16.0;15.0
8;193;193.0;207.0;369;26;11.0;14.0
2;195;195.0;206.0;376;29;11.0;11.0
12;195;195.0;200.0;374;10;4.0;5.0
13;195;195.0;211.0;375;7;18.0;16.0
6;198;198.0;203.0;377;11;5.0;5.0
7;202;202.0;203.0;379;28;1.0;1.0
10;202;202.0;221.0;378;19;21.0;19.0
7;203;203.0;222.0;380;6;20.0;19.0
5;205;205.0;221.0;381;9;18.0;16.0
16;207;207.0;210.0;382;10;4.0;3.0
17;207;207.0;208.0;383;3;1.0;1.0
12;207;207.0;215.0;384;3;10.0;8.0
17;208;208.0;222.0;388;19;14.0;14.0
2;208;208.0;211.0;387;14;3.0;3.0
6;208;208.0;233.0;389;9;29.0;25.0
9;208;208.0;217.0;385;4;7.0;9.0
1;208;208.0;229.0;386;25;20.0;21.0
16;210;210.0;219.0;390;4;8.0;9.0
4;210;210.0;233.0;391;19;23.0;23.0
11;213;213.0;227.0;392;1;13.0;14.0
2;213;213.0;229.0;395;18;17.0;16.0
19;213;213.0;228.0;393;2;15.0;15.0
8;213;213.0;222.0;394;13;10.0;9.0
0;214;214.0;216.0;396;24;1.0;2.0
3;214;214.0;233.0;399;10;20.0;19.0
18;214;214.0;220.0;397;20;8.0;6.0
13;214;214.0;218.0;398;20;3.0;4.0
12;215;215.0;225.0;400;8;11.0;10.0
0;216;216.0;239.0;407;13;21.0;23.0
14;216;216.0;222.0;403;18;1.0;6.0
9;216;217.0;218.0;404;9;2.0;1.0
15;218;218.0;245.0;409;9;27.0;27.0
9;218;218.0;221.0;410;7;5.0;3.0
13;218;218.0;235.0;415;3;17.0;17.0
16;219;219.0;232.0;416;28;11.0;13.0
18;218;220.0;233.0;411;7;14.0;13.0
5;219;221.0;232.0;417;8;13.0;11.0
9;219;221.0;226.0;418;7;5.0;5.0
10;218;221.0;222.0;414;26;1.0;1.0
7;220;222.0;224.0;419;28;1.0;2.0
17;216;222.0;224.0;408;3;1.0;2.0
8;218;222.0;229.0;412;25;6.0;7.0
10;216;222.0;227.0;401;14;5.0;5.0
14;216;222.0;233.0;406;4;10.0;11.0
7;220;224.0;239.0;421;10;16.0;15.0
17;216;224.0;230.0;405;14;7.0;6.0
12;218;225.0;229.0;413;2;2.0;4.0
9;226;226.0;243.0;426;25;12.0;17.0
11;220;227.0;238.0;422;2;9.0;11.0
10;220;227.0;232.0;420;14;5.0;5.0
19;216;228.0;253.0;402;24;26.0;25.0
2;226;229.0;232.0;428;14;3.0;3.0
8;226;229.0;234.0;427;22;5.0;5.0
12;227;229.0;233.0;429;4;3.0;4.0
1;227;229.0;230.0;431;0;2.0;1.0
17;227;230.0;231.0;430;1;3.0;1.0
1;225;230.0;241.0;423;7;10.0;11.0
17;231;231.0;239.0;436;1;3.0;8.0
5;231;232.0;257.0;435;20;22.0;25.0
16;231;232.0;235.0;441;10;4.0;3.0
2;231;232.0;264.0;432;8;29.0;32.0
10;231;232.0;261.0;443;17;28.0;29.0
3;231;233.0;234.0;440;5;1.0;1.0
4;231;233.0;235.0;445;5;3.0;2.0
12;231;233.0;234.0;434;2;2.0;1.0
6;225;233.0;236.0;424;6;4.0;3.0
18;231;233.0;235.0;442;24;2.0;2.0
14;226;233.0;238.0;425;19;6.0;5.0
8;234;234.0;238.0;446;15;5.0;4.0
3;231;234.0;241.0;444;16;7.0;7.0
12;231;234.0;243.0;438;1;9.0;9.0
16;231;235.0;246.0;439;6;11.0;11.0
4;234;235.0;239.0;451;15;5.0;4.0
18;231;235.0;238.0;433;29;3.0;3.0
13;231;235.0;239.0;437;25;2.0;4.0
6;234;236.0;242.0;449;1;7.0;6.0
11;236;238.0;243.0;453;12;5.0;5.0
8;234;238.0;249.0;448;7;8.0;11.0
18;234;238.0;241.0;450;29;3.0;3.0
14;234;238.0;251.0;452;3;15.0;13.0
7;239;239.0;260.0;454;3;19.0;21.0
17;240;240.0;255.0;455;24;16.0;15.0
0;240;240.0;245.0;457;24;1.0;5.0
4;240;240.0;256.0;456;29;17.0;16.0
3;241;241.0;243.0;458;5;1.0;2.0
11;243;243.0;260.0;459;15;17.0;17.0
6;243;243.0;259.0;460;26;15.0;16.0
1;243;243.0;268.0;461;19;24.0;25.0
15;245;245.0;246.0;467;22;1.0;1.0
3;245;245.0;256.0;468;29;9.0;11.0
9;245;245.0;254.0;466;21;8.0;9.0
18;245;245.0;247.0;464;29;3.0;2.0
12;245;245.0;259.0;469;8;11.0;14.0
13;245;245.0;247.0;463;27;2.0;2.0
0;245;245.0;246.0;462;14;1.0;1.0
15;246;246.0;257.0;472;13;9.0;11.0
16;246;246.0;248.0;471;27;2.0;2.0
0;245;246.0;252.0;465;0;5.0;6.0
18;246;247.0;261.0;470;28;14.0;14.0
