server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;0;0.0;2.0;1;5;1.0;2.0
1;0;0.0;1.0;4;8;1.0;1.0
2;0;0.0;16.0;2;5;15.0;16.0
3;0;0.0;26.0;3;5;26.0;26.0
8;2;2.0;24.0;5;11;24.0;22.0
9;2;2.0;18.0;6;15;15.0;16.0
11;4;4.0;13.0;7;0;10.0;9.0
12;5;5.0;25.0;8;5;21.0;20.0
15;5;5.0;8.0;9;24;4.0;3.0
16;5;5.0;22.0;10;14;16.0;17.0
18;5;5.0;9.0;11;18;4.0;4.0
4;8;8.0;31.0;12;8;23.0;23.0
17;8;8.0;12.0;16;6;4.0;4.0
1;8;8.0;9.0;14;26;1.0;1.0
0;8;8.0;11.0;15;15;3.0;3.0
15;8;8.0;19.0;13;19;11.0;11.0
1;9;9.0;23.0;20;23;16.0;14.0
18;8;9.0;24.0;17;25;12.0;15.0
0;10;11.0;17.0;22;11;6.0;6.0
17;12;12.0;30.0;30;20;18.0;18.0
11;10;13.0;17.0;23;20;2.0;4.0
7;8;13.936474395176534;14.936474395176534;18;2;2.0;1.0
13;12;14.145876807190074;15.145876807190074;31;17;1.0;1.0
6;10;14.522881470252779;16.522881470252777;26;10;2.0;1.9999999999999982
7;12;14.936474395176534;19.936474395176532;27;7;6.0;4.999999999999998
13;9;15.145876807190074;23.145876807190074;19;25;7.0;8.0
19;9;15.981267875504962;25.98126787550496;21;13;11.0;10.0
2;10;16.0;22.0;25;4;7.0;6.0
6;12;16.522881470252777;20.522881470252777;29;8;3.0;4.0
0;17;17.0;30.0;35;18;12.0;13.0
11;17;17.0;18.0;36;12;1.0;1.0
5;12;17.474852472985447;20.474852472985447;28;21;3.0;3.0
11;10;18.0;39.0;24;28;20.0;21.0
9;17;18.0;31.0;37;19;11.0;13.0
15;15;19.0;28.0;32;14;9.0;9.0
7;15;19.936474395176532;22.936474395176532;33;0;2.0;3.0
5;20;20.474852472985447;22.474852472985447;40;21;3.0;2.0
6;17;20.522881470252777;36.52288147025278;34;16;20.0;16.0
14;17;20.688887882317573;28.688887882317573;38;15;8.0;8.0
10;19;20.95847690921278;36.95847690921278;39;3;11.0;15.999999999999996
16;22;22.0;40.0;42;2;20.0;18.0
2;22;22.0;33.0;41;22;11.0;11.0
5;22;22.474852472985447;30.474852472985447;43;24;8.0;8.0
7;25;25.0;42.0;46;21;16.0;17.0
13;25;25.0;44.0;44;18;22.0;19.0
19;27;27.0;42.0;47;11;15.0;15.0
14;29;29.0;50.0;48;2;20.0;21.0
1;30;30.0;50.0;50;17;20.0;20.0
18;30;30.0;52.0;51;10;23.0;22.0
5;31;31.0;45.0;53;7;15.0;14.0
8;31;31.0;40.0;52;18;9.0;9.0
17;31;31.0;42.0;54;15;7.0;11.0
4;33;33.0;60.0;56;19;28.0;27.0
15;33;33.0;61.0;55;28;28.0;28.0
0;35;35.0;41.0;58;13;7.0;6.0
3;35;35.0;39.0;59;6;3.0;4.0
9;35;35.0;55.0;57;3;20.0;20.0
2;36;36.0;51.0;60;20;14.0;15.0
10;38;38.0;53.0;61;1;16.0;15.0
6;38;38.0;40.0;64;20;3.0;2.0
3;38;39.0;46.0;65;19;8.0;7.0
11;38;39.0;61.0;63;3;22.0;22.0
6;40;40.0;49.0;68;14;11.0;9.0
8;40;40.0;54.0;71;23;14.0;14.0
16;40;40.0;49.0;70;28;11.0;9.0
0;41;41.0;70.0;72;20;29.0;29.0
19;42;42.0;70.0;73;23;28.0;28.0
7;38;42.0;48.0;62;5;7.0;6.0
17;40;42.0;45.0;69;14;8.0;3.0
13;42;44.0;48.0;74;24;5.0;4.0
5;40;45.0;50.0;67;25;5.0;5.0
17;44;45.0;47.0;76;8;3.0;2.0
3;46;46.0;47.0;83;0;2.0;1.0
17;47;47.0;54.0;88;3;7.0;7.0
3;46;47.0;51.0;81;25;3.0;4.0
13;47;48.0;61.0;86;3;16.0;13.0
7;48;48.0;55.0;93;5;7.0;7.0
6;48;49.0;63.0;92;12;15.0;14.0
16;46;49.0;74.0;84;3;25.0;25.0
12;48;49.49875622926607;81.49875622926606;89;21;29.0;31.999999999999993
14;45;50.0;53.0;79;12;4.0;3.0
5;45;50.0;53.0;77;21;3.0;3.0
1;45;50.0;53.0;78;25;4.0;3.0
3;48;51.0;52.0;90;10;1.0;1.0
2;49;51.0;52.0;96;12;1.0;1.0
18;52;52.0;82.0;100;24;29.0;30.0
3;48;52.0;53.0;91;10;1.0;1.0
2;47;52.0;59.0;87;1;5.0;7.0
10;53;53.0;55.0;106;4;6.0;2.0
14;53;53.0;73.0;105;20;23.0;20.0
5;48;53.0;58.0;94;3;5.0;5.0
1;49;53.0;55.0;95;25;4.0;2.0
3;49;53.0;54.0;98;18;1.0;1.0
8;46;54.0;63.0;82;0;6.0;9.0
17;46;54.0;57.0;80;22;4.0;3.0
3;53;54.0;55.0;103;18;1.0;1.0
10;55;55.0;66.0;110;23;11.0;11.0
7;55;55.0;68.0;108;17;16.0;13.0
1;52;55.0;59.0;101;25;4.0;4.0
3;53;55.0;57.0;104;0;2.0;2.0
9;55;55.0;56.0;107;7;2.0;1.0
9;56;56.0;69.0;111;16;13.0;13.0
17;55;57.0;64.0;109;15;7.0;7.0
3;46;57.0;77.0;85;4;19.0;20.0
5;53;58.0;68.0;102;4;9.0;10.0
1;58;59.0;60.0;112;8;1.0;1.0
2;51;59.0;83.0;99;14;25.0;24.0
13;63;63.0;69.0;119;25;7.0;6.0
1;63;63.0;78.0;122;18;14.0;15.0
6;63;63.0;76.0;123;19;14.0;13.0
15;63;63.0;68.0;124;13;5.0;5.0
8;63;63.0;66.0;118;21;3.0;3.0
17;63;64.0;66.0;114;29;3.0;2.0
10;66;66.0;67.0;127;10;1.0;1.0
8;63;66.0;72.0;117;0;6.0;6.0
17;63;66.0;70.0;120;29;3.0;4.0
10;67;67.0;69.0;128;24;5.0;2.0
5;68;68.0;73.0;134;6;7.0;5.0
7;66;68.0;70.0;126;0;2.0;2.0
15;67;68.0;71.0;130;6;4.0;3.0
10;63;69.0;81.0;113;3;11.0;12.0
13;63;69.0;71.0;115;17;1.0;2.0
9;63;69.0;70.0;116;7;2.0;1.0
19;63;70.0;73.0;125;20;4.0;3.0
7;67;70.0;74.0;131;2;2.0;4.0
17;67;70.0;72.0;132;13;1.0;2.0
9;67;70.0;85.0;129;9;14.0;15.0
13;70;71.0;80.0;135;4;9.0;9.0
15;68;71.0;85.0;133;20;13.0;14.0
8;72;72.0;73.0;136;5;2.0;1.0
14;73;73.0;89.0;137;19;15.0;16.0
5;74;74.0;95.0;140;9;20.0;21.0
19;74;74.0;89.0;142;13;11.0;15.0
7;74;74.0;85.0;141;23;10.0;11.0
17;74;74.0;84.0;139;14;8.0;10.0
8;74;74.0;84.0;143;14;10.0;10.0
6;76;76.0;98.0;146;16;20.0;22.0
3;76;77.0;99.0;149;12;22.0;22.0
1;78;78.0;94.0;151;6;16.0;16.0
13;78;80.0;105.0;150;9;26.0;25.0
10;81;81.0;86.0;154;25;4.0;5.0
12;81;81.49875622926606;106.49875622926606;153;1;27.0;25.0
18;74;82.0;97.0;144;26;16.0;15.0
16;76;82.00564579100157;83.00564579100157;148;18;1.0;1.0
2;83;83.0;91.0;156;4;7.0;8.0
16;76;83.00564579100157;89.00564579100157;145;29;7.0;6.0
11;83;83.54392899910601;95.54392899910601;157;6;11.0;12.0
17;79;84.0;86.0;152;8;3.0;2.0
8;76;84.0;95.0;147;25;11.0;11.0
7;85;85.0;100.0;163;21;16.0;15.0
15;85;85.0;93.0;168;11;8.0;8.0
9;85;85.0;103.0;165;25;18.0;18.0
0;85;85.39181817666635;106.39181817666635;161;0;22.0;21.0
10;82;86.0;89.0;155;29;4.0;3.0
17;85;86.0;91.0;160;23;6.0;5.0
10;88;89.0;96.0;170;27;7.0;7.0
14;85;89.0;97.0;159;27;8.0;8.0
16;85;89.00564579100157;93.00564579100157;162;26;4.0;4.0
17;91;91.0;115.0;178;10;24.0;24.0
2;88;91.0;95.0;171;1;5.0;4.0
15;92;93.0;109.0;180;18;16.0;16.0
16;92;93.00564579100157;123.00564579100157;181;11;27.0;30.0
1;89;94.0;95.0;173;8;1.0;1.0
5;89;95.0;97.0;175;27;2.0;2.0
1;85;95.0;100.0;166;4;7.0;5.0
8;85;95.0;101.0;164;20;8.0;6.0
2;85;95.0;106.0;167;15;10.0;11.0
11;89;95.54392899910601;113.54392899910601;174;23;18.0;18.0
10;85;96.0;107.0;169;3;11.0;11.0
14;91;97.0;101.0;176;24;5.0;4.0
5;96;97.0;99.0;185;27;2.0;2.0
18;92;97.0;107.0;179;9;11.0;10.0
